"county"	"month"	"variable"	"value"	"year"
"Montgomery County"	"January"	"pct_change_median_sale_price"	-2.8	"0"
"Montgomery County"	"February"	"pct_change_median_sale_price"	3.6	"0"
"Montgomery County"	"March"	"pct_change_median_sale_price"	6.4	"0"
"Montgomery County"	"April"	"pct_change_median_sale_price"	0.087	"0"
"Montgomery County"	"January"	"units_pending_2022"	799	"2022"
"Montgomery County"	"February"	"units_pending_2022"	930	"2022"
"Montgomery County"	"March"	"units_pending_2022"	1340	"2022"
"Montgomery County"	"April"	"units_pending_2022"	1334	"2022"
"Montgomery County"	"January"	"units_pending_2021"	973	"2021"
"Montgomery County"	"February"	"units_pending_2021"	949	"2021"
"Montgomery County"	"March"	"units_pending_2021"	1532	"2021"
"Montgomery County"	"April"	"units_pending_2021"	1561	"2021"
"Montgomery County"	"January"	"active_inventory_2022"	497	"2022"
"Montgomery County"	"February"	"active_inventory_2022"	530	"2022"
"Montgomery County"	"March"	"active_inventory_2022"	652	"2022"
"Montgomery County"	"April"	"active_inventory_2022"	887	"2022"
"Montgomery County"	"January"	"active_inventory_2021"	1081	"2021"
"Montgomery County"	"February"	"active_inventory_2021"	1026	"2021"
"Montgomery County"	"March"	"active_inventory_2021"	1064	"2021"
"Montgomery County"	"April"	"active_inventory_2021"	1290	"2021"
"Montgomery County"	"January"	"months_of_inventory_2022"	0.4	"2022"
"Montgomery County"	"February"	"months_of_inventory_2022"	0.4	"2022"
"Montgomery County"	"March"	"months_of_inventory_2022"	0.5	"2022"
"Montgomery County"	"April"	"months_of_inventory_2022"	0.7	"2022"
"Montgomery County"	"January"	"months_of_inventory_2021"	0.9	"2021"
"Montgomery County"	"February"	"months_of_inventory_2021"	0.9	"2021"
"Montgomery County"	"March"	"months_of_inventory_2021"	0.9	"2021"
"Montgomery County"	"April"	"months_of_inventory_2021"	1.1	"2021"
"Montgomery County"	"January"	"median_dom_2022"	10	"2022"
"Montgomery County"	"February"	"median_dom_2022"	7	"2022"
"Montgomery County"	"March"	"median_dom_2022"	6	"2022"
"Montgomery County"	"April"	"median_dom_2022"	6	"2022"
"Montgomery County"	"January"	"median_dom_2021"	8	"2021"
"Montgomery County"	"February"	"median_dom_2021"	7	"2021"
"Montgomery County"	"March"	"median_dom_2021"	6	"2021"
"Montgomery County"	"April"	"median_dom_2021"	6	"2021"
"Montgomery County"	"January"	"new_listings_2022"	780	"2022"
"Montgomery County"	"February"	"new_listings_2022"	1026	"2022"
"Montgomery County"	"March"	"new_listings_2022"	1547	"2022"
"Montgomery County"	"April"	"new_listings_2022"	1656	"2022"
"Montgomery County"	"January"	"units_sold_2022"	775	"2022"
"Montgomery County"	"February"	"units_sold_2022"	732	"2022"
"Montgomery County"	"March"	"units_sold_2022"	1032	"2022"
"Montgomery County"	"April"	"units_sold_2022"	1227	"2022"
"Montgomery County"	"January"	"new_listings_2021"	1080	"2021"
"Montgomery County"	"February"	"new_listings_2021"	999	"2021"
"Montgomery County"	"March"	"new_listings_2021"	1663	"2021"
"Montgomery County"	"April"	"new_listings_2021"	1922	"2021"
"Montgomery County"	"January"	"units_sold_2021"	823	"2021"
"Montgomery County"	"February"	"units_sold_2021"	900	"2021"
"Montgomery County"	"March"	"units_sold_2021"	1145	"2021"
"Montgomery County"	"April"	"units_sold_2021"	1447	"2021"
"Montgomery County"	"January"	"pct_change_units_sold"	-5.8	"0"
"Montgomery County"	"February"	"pct_change_units_sold"	-18.7	"0"
"Montgomery County"	"March"	"pct_change_units_sold"	-9.9	"0"
"Montgomery County"	"April"	"pct_change_units_sold"	-0.152	"0"
"Montgomery County"	"January"	"average_sale_price_2022"	585614	"2022"
"Montgomery County"	"February"	"average_sale_price_2022"	608178	"2022"
"Montgomery County"	"March"	"average_sale_price_2022"	679804	"2022"
"Montgomery County"	"April"	"average_sale_price_2022"	709408	"2022"
"Montgomery County"	"January"	"average_sale_price_2021"	622811	"2021"
"Montgomery County"	"February"	"average_sale_price_2021"	570683	"2021"
"Montgomery County"	"March"	"average_sale_price_2021"	636612	"2021"
"Montgomery County"	"April"	"average_sale_price_2021"	678207	"2021"
"Montgomery County"	"January"	"pct_change_average_sale_price"	-6	"0"
"Montgomery County"	"February"	"pct_change_average_sale_price"	6.6	"0"
"Montgomery County"	"March"	"pct_change_average_sale_price"	6.8	"0"
"Montgomery County"	"April"	"pct_change_average_sale_price"	0.046	"0"
"Montgomery County"	"January"	"median_sale_price_2022"	486000	"2022"
"Montgomery County"	"February"	"median_sale_price_2022"	490500	"2022"
"Montgomery County"	"March"	"median_sale_price_2022"	537398	"2022"
"Montgomery County"	"April"	"median_sale_price_2022"	587000	"2022"
"Montgomery County"	"January"	"median_sale_price_2021"	5e+05	"2021"
"Montgomery County"	"February"	"median_sale_price_2021"	473303	"2021"
"Montgomery County"	"March"	"median_sale_price_2021"	505000	"2021"
"Montgomery County"	"April"	"median_sale_price_2021"	540000	"2021"
