"county"	"month"	"variable"	"value"	"year"
"Montgomery County"	"June"	"county_name"	"Montgomery County"	0
"Montgomery County"	"June"	"pct_change_median_sale_price"	"7.5"	0
"Montgomery County"	"June"	"units_pending_2022"	"1199"	2022
"Montgomery County"	"June"	"units_pending_2021"	"1581"	2021
"Montgomery County"	"June"	"active_inventory_2022"	"1177"	2022
"Montgomery County"	"June"	"active_inventory_2021"	"1480"	2021
"Montgomery County"	"June"	"months_of_inventory_2022"	"1"	2022
"Montgomery County"	"June"	"months_of_inventory_2021"	"1.1"	2021
"Montgomery County"	"June"	"median_dom_2022"	"7"	2022
"Montgomery County"	"June"	"median_dom_2021"	"6"	2021
"Montgomery County"	"June"	"new_listings_2022"	"1670"	2022
"Montgomery County"	"June"	"units_sold_2022"	"1348"	2022
"Montgomery County"	"June"	"new_listings_2021"	"2000"	2021
"Montgomery County"	"June"	"units_sold_2021"	"1740"	2021
"Montgomery County"	"June"	"pct_change_units_sold"	"-22.5"	0
"Montgomery County"	"June"	"average_sale_price_2022"	"724783"	2022
"Montgomery County"	"June"	"average_sale_price_2021"	"677204"	2021
"Montgomery County"	"June"	"pct_change_average_sale_price"	"7"	0
"Montgomery County"	"June"	"median_sale_price_2022"	"6e+05"	2022
"Montgomery County"	"June"	"median_sale_price_2021"	"558000"	2021
"Montgomery County"	"June"	"units_sold_change"	"-22.5287356321839"	0
"Montgomery County"	"June"	"units_sold_change_color"	"red"	0
"Montgomery County"	"June"	"just_county_name"	"Montgomery"	0
"Montgomery County"	"June"	"units_pending_change"	"-24.1619228336496"	0
"Montgomery County"	"June"	"units_pending_change_color"	"red"	0
"Montgomery County"	"June"	"active_inventory_change"	"-20.472972972973"	0
"Montgomery County"	"June"	"active_inventory_change_color"	"red"	0
"Montgomery County"	"June"	"average_sale_price_change"	"7.02580020200708"	0
"Montgomery County"	"June"	"average_sale_price_change_color"	"green"	0
"Montgomery County"	"June"	"median_sale_price_change"	"7.52688172043011"	0
"Montgomery County"	"June"	"median_sale_price_change_color"	"green"	0
"Montgomery County"	"June"	"median_dom_change"	"1"	0
"Montgomery County"	"June"	"median_dom_change_color"	"green"	0
"Montgomery County"	"June"	"months_of_inventory_change"	"-9.0909090909091"	0
"Montgomery County"	"June"	"months_of_inventory_change_color"	"red"	0
"Montgomery County"	"June"	"new_listings_change"	"-16.5"	0
"Montgomery County"	"June"	"new_listings_change_color"	"red"	0
"Montgomery County"	"May"	"county_name"	"Montgomery County"	0
"Montgomery County"	"May"	"pct_change_median_sale_price"	"12.7"	0
"Montgomery County"	"May"	"units_pending_2022"	"1385"	2022
"Montgomery County"	"May"	"units_pending_2021"	"1668"	2021
"Montgomery County"	"May"	"active_inventory_2022"	"917"	2022
"Montgomery County"	"May"	"active_inventory_2021"	"1304"	2021
"Montgomery County"	"May"	"months_of_inventory_2022"	"0.7"	2022
"Montgomery County"	"May"	"months_of_inventory_2021"	"1"	2021
"Montgomery County"	"May"	"median_dom_2022"	"6"	2022
"Montgomery County"	"May"	"median_dom_2021"	"6"	2021
"Montgomery County"	"May"	"new_listings_2022"	"1576"	2022
"Montgomery County"	"May"	"units_sold_2022"	"1313"	2022
"Montgomery County"	"May"	"new_listings_2021"	"1852"	2021
"Montgomery County"	"May"	"units_sold_2021"	"1474"	2021
"Montgomery County"	"May"	"pct_change_units_sold"	"-10.9"	0
"Montgomery County"	"May"	"average_sale_price_2022"	"764796"	2022
"Montgomery County"	"May"	"average_sale_price_2021"	"674295"	2021
"Montgomery County"	"May"	"pct_change_average_sale_price"	"13.4"	0
"Montgomery County"	"May"	"median_sale_price_2022"	"620000"	2022
"Montgomery County"	"May"	"median_sale_price_2021"	"550000"	2021
"Montgomery County"	"May"	"units_sold_change"	"-10.9226594301221"	0
"Montgomery County"	"May"	"units_sold_change_color"	"red"	0
"Montgomery County"	"May"	"just_county_name"	"Montgomery"	0
"Montgomery County"	"May"	"units_pending_change"	"-16.9664268585132"	0
"Montgomery County"	"May"	"units_pending_change_color"	"red"	0
"Montgomery County"	"May"	"active_inventory_change"	"-29.6779141104294"	0
"Montgomery County"	"May"	"active_inventory_change_color"	"red"	0
"Montgomery County"	"May"	"average_sale_price_change"	"13.4215736435833"	0
"Montgomery County"	"May"	"average_sale_price_change_color"	"green"	0
"Montgomery County"	"May"	"median_sale_price_change"	"12.7272727272727"	0
"Montgomery County"	"May"	"median_sale_price_change_color"	"green"	0
"Montgomery County"	"May"	"median_dom_change"	"0"	0
"Montgomery County"	"May"	"median_dom_change_color"	"green"	0
"Montgomery County"	"May"	"months_of_inventory_change"	"-30"	0
"Montgomery County"	"May"	"months_of_inventory_change_color"	"red"	0
"Montgomery County"	"May"	"new_listings_change"	"-14.902807775378"	0
"Montgomery County"	"May"	"new_listings_change_color"	"red"	0
"Montgomery County"	"January"	"pct_change_median_sale_price"	"-2.8"	0
